appln_id,innovations
313584205,"['Spring accumulator enables automatic, time-delayed closure of window or door sashes.', 'Traction means guided by deflecting element efficiently transmits force for reliable closing.', 'Optimized stop point placement enhances closing reliability through strategic distance management.']"
315724696,"['Camera vision axis intersecting door frame for comprehensive monitoring and obstacle detection.', 'Image analysis isolating regions of interest to enhance precise obstacle recognition.', 'Classification system using dimensional criteria to activate context-specific safety responses.']"
315890604,"['Nested planetary gear sets in common or slightly offset planes for compact transmission design.', 'Rotational coupling of ring gear, sun gear, and planet carriers enhances transmission stability.', 'Radial mounting with minimal play on central gear shaft prevents forced gear movement.']"
323839035,"['Magnetic sensing pad triggering data disk rotation introduces novel interaction dynamics in game play.', 'Metallic pieces divided into areas with distinct data values enhance gameplay complexity and engagement.', 'Automatic retraction rope integration offers enhanced user control and dynamic game experience.']"
328736511,"['Automated Azimuthal alignment of sighting unit for precise horizontal plane definition using space points.', 'Laser beam marking of second space point in actual alignment with the horizontal line for accurate construction measurements.', 'Computer program integration enabling method execution for efficient space point measurement and marking in construction.']"
328896598,"['Gaussian Mixture Model combined with Mean-Shift for enhanced 3D object orientation and shape tracking beyond traditional 2D methods.', 'Asymmetric filter core creation from improved shadow removal enhances precision in binary mask generation for object detection.', 'Segmentation step integrated into shape-adaptive tracking algorithm enables accurate object contour and spatial orientation calculation.']"
329778673,"['Rapidly switching images with varying focal points create a simulated 3D effect without special viewing aids.', ""Sequential image presentation enables viewer's eyes to adjust focus, mimicking natural depth perception."", 'Flexible number of depth planes enhances adaptability across different display technologies and applications.']"
332431045,"['Automatic resetting linkage mechanism adjusts chain wrap angle to ensure safe descending stroke and prevent faults.', 'Integrated rocking rods and adjusting wheels collaboratively enhance operational reliability and safety.', 'Elastic resetting mechanism dynamically controls chain tension, mitigating over-loosening or tightening risks.']"
333688797,"['Novel pivot assembly with integrated protective shield and circular element closing window edges effectively.', 'Automatic trap control system with lever and spring mechanism for efficient light leakage prevention.', 'Configurable traps with three portions ensuring comprehensive coverage and sealing of window openings.']"
335120249,"['Automatic valve with multi-plane flexible flaps enabling pressure equalization and controlled substance dispensing.', 'Soft plastic body integrating sealed fixing means for reliable attachment to container necks.', 'Pressure-responsive design allowing air passage when internal and external pressures are balanced.']"
336237825,"['Angled propulsion pods with instantaneous control signals for radical improvement in marine vessel maneuverability.', 'Individually adjustable interceptor blades providing precise intercepting moments enhancing fuel efficiency.', 'Integrated control unit leveraging steering and speed data to optimize both comfort and operational economy.']"
337058256,"['Geodesic frame with eigenfrequency spectrum above 20 Hz enabling precise vibrational control in high-altitude environments.', 'Independently controllable electrical propulsion units altering thrust vector direction for enhanced maneuverability at extreme altitudes.', 'Integrated buoyancy system using pressurized tanks and valves to regulate altitude dynamically through buoyant gas expansion.']"
