appln_id,keywords
313584205,"['automatic closing', 'spring accumulator', 'traction means', 'deflecting element', 'optimized stop point']"
315724696,"['computer vision', 'automatic door control', 'obstacle detection', 'safety algorithm', 'intelligent access']"
315890604,"['planetary transmission', 'nested gear sets', 'rotational coupling', 'radial mounting', 'gear shaft']"
323839035,"['magnetic attraction', 'data disk rotation', 'interactive game piece', 'metallic plane', 'automatic retraction rope']"
328736511,"['horizontal line projection', 'Azimuthal alignment', 'laser marking', 'automatic control', 'construction measurement']"
328896598,"['Gaussian mixture model', 'Mean-Shift tracking', '3D object orientation', 'shadow removal', 'shape-adaptive tracking']"
329778673,"['3D imaging', 'focal adjustment', 'sequential display', 'depth perception', 'eyewear-free']"
332431045,"['chain lifter', 'automatic reset', 'linkage mechanism', 'safe descending stroke', 'adjusting wheel']"
333688797,"['pivot assembly', 'light leakage closure', 'automatic trap control', 'protective shield', 'cylindrical cover']"
335120249,"['automatic valve', 'flexible flap', 'pressure equalization', 'dispensing cap', 'soft plastic body']"
336237825,"['marine propulsion', 'automatic steering', 'interceptor blades', 'fuel economy', 'vessel comfort']"
337058256,"['stratospheric airship', 'geodesic frame', 'vibrational control', 'electrical propulsion', 'buoyancy system']"
337293241,"['remote data concentrator', 'avionics network', 'autonomous output', 'input/output interface', 'network communication']"
337687658,"['automatic derailleur', 'electric vehicle transmission', 'planetary gear train', 'dual clutch system', 'speed adaptation']"
338942395,"['thrust asymmetry control', 'engine-out safety', 'multi-engine flight dynamics', 'adaptive thrust limit', 'landing speed optimization']"
339368859,"['quadrotor UAV', 'integral-battery body', 'multi-environment adaptability', 'modular arm design', 'versatile control system']"
340257087,"['splitting shaft', 'cutting tool adjustment', 'automatic locking', 'support printing band', 'marking tool positioning']"
340458658,"['money counter', 'paper-money leaning surface', 'money-sliding plate', 'money-twisting wheel', 'wedge-shaped angle']"
340457456,"['fuel conveying', 'inverted triangle hopper', 'automatic fuel delivery', 'spiral blade mechanism', 'motorized control']"
340458473,"['long-range UAV', 'mobile network control', 'attitude control', 'distributed control', 'lightweight system']"
340453229,"['glue spraying', 'valve gasket', 'automatic coating', 'viscosity control', 'recycling system']"
340451676,"['expander pressure ring', 'dynamic extrusion', 'planet gear meshing', 'automatic centering', 'wear reduction']"
340492358,"['load-responsive speed change', 'planetary gear mechanism', 'coil spring biasing', 'minimal component design', 'neutral rotation attitude']"
340492889,"['ADS-B system', 'transponder squawk code', 'automatic harmonization', 'onboard device', 'aircraft communication']"
340487197,"['aircraft separation', 'automatic control', 'speed regulation', 'time-based navigation', 'trailing aircraft management']"
340644229,"['blowing motor', 'Hall sensor', 'gear monitoring', 'control circuit', 'intelligent alarm']"
340645273,"['wire antenna', 'electromagnetic wave detection', 'vector information', 'automatic data processing', 'non-mechanical scanning']"
340644372,"['CCD sensitization', 'holographic imaging', 'digital microscopy', 'multi-focal plane', 'automatic slide handling']"
