source,target,weight
automatic closing,optimized stop point,1
optimized stop point,traction means,1
deflecting element,optimized stop point,1
optimized stop point,spring accumulator,1
automatic closing,traction means,1
automatic closing,deflecting element,1
automatic closing,spring accumulator,1
deflecting element,traction means,1
spring accumulator,traction means,1
deflecting element,spring accumulator,1
automatic door control,obstacle detection,1
obstacle detection,safety algorithm,2
intelligent access,obstacle detection,1
computer vision,obstacle detection,1
automatic door control,safety algorithm,1
automatic door control,intelligent access,1
automatic door control,computer vision,1
intelligent access,safety algorithm,1
computer vision,safety algorithm,1
computer vision,intelligent access,1
radial mounting,rotational coupling,1
nested gear sets,radial mounting,1
planetary transmission,radial mounting,1
gear shaft,radial mounting,1
nested gear sets,rotational coupling,1
planetary transmission,rotational coupling,1
gear shaft,rotational coupling,1
nested gear sets,planetary transmission,1
gear shaft,nested gear sets,1
gear shaft,planetary transmission,1
interactive game piece,magnetic attraction,1
automatic retraction rope,interactive game piece,1
interactive game piece,metallic plane,1
data disk rotation,interactive game piece,1
automatic retraction rope,magnetic attraction,1
magnetic attraction,metallic plane,1
data disk rotation,magnetic attraction,1
automatic retraction rope,metallic plane,1
automatic retraction rope,data disk rotation,1
data disk rotation,metallic plane,1
Azimuthal alignment,construction measurement,1
Azimuthal alignment,automatic control,1
Azimuthal alignment,horizontal line projection,1
Azimuthal alignment,laser marking,1
automatic control,construction measurement,1
construction measurement,horizontal line projection,1
construction measurement,laser marking,1
automatic control,horizontal line projection,1
automatic control,laser marking,1
horizontal line projection,laser marking,1
3D object orientation,Gaussian mixture model,1
Gaussian mixture model,Mean-Shift tracking,1
Gaussian mixture model,shape-adaptive tracking,1
Gaussian mixture model,shadow removal,1
3D object orientation,Mean-Shift tracking,1
3D object orientation,shape-adaptive tracking,1
3D object orientation,shadow removal,1
Mean-Shift tracking,shape-adaptive tracking,1
Mean-Shift tracking,shadow removal,1
shadow removal,shape-adaptive tracking,1
eyewear-free,sequential display,1
depth perception,eyewear-free,1
3D imaging,eyewear-free,1
eyewear-free,focal adjustment,1
depth perception,sequential display,1
3D imaging,sequential display,1
focal adjustment,sequential display,1
3D imaging,depth perception,1
depth perception,focal adjustment,1
3D imaging,focal adjustment,1
chain lifter,linkage mechanism,1
adjusting wheel,chain lifter,1
chain lifter,safe descending stroke,1
automatic reset,chain lifter,1
adjusting wheel,linkage mechanism,1
linkage mechanism,safe descending stroke,1
automatic reset,linkage mechanism,1
adjusting wheel,safe descending stroke,1
adjusting wheel,automatic reset,1
automatic reset,safe descending stroke,1
automatic trap control,light leakage closure,1
automatic trap control,protective shield,1
automatic trap control,pivot assembly,1
automatic trap control,cylindrical cover,1
light leakage closure,protective shield,1
light leakage closure,pivot assembly,1
cylindrical cover,light leakage closure,1
pivot assembly,protective shield,1
cylindrical cover,protective shield,1
cylindrical cover,pivot assembly,1
automatic valve,flexible flap,1
dispensing cap,flexible flap,1
flexible flap,soft plastic body,1
flexible flap,pressure equalization,1
automatic valve,dispensing cap,1
automatic valve,soft plastic body,1
automatic valve,pressure equalization,1
dispensing cap,soft plastic body,1
dispensing cap,pressure equalization,1
pressure equalization,soft plastic body,1
interceptor blades,marine propulsion,1
automatic steering,marine propulsion,1
marine propulsion,vessel comfort,1
fuel economy,marine propulsion,1
automatic steering,interceptor blades,1
interceptor blades,vessel comfort,1
fuel economy,interceptor blades,1
automatic steering,vessel comfort,1
automatic steering,fuel economy,1
fuel economy,vessel comfort,1
buoyancy system,stratospheric airship,1
electrical propulsion,stratospheric airship,1
stratospheric airship,vibrational control,1
geodesic frame,stratospheric airship,1
buoyancy system,electrical propulsion,1
buoyancy system,vibrational control,1
buoyancy system,geodesic frame,1
electrical propulsion,vibrational control,1
electrical propulsion,geodesic frame,1
geodesic frame,vibrational control,1
autonomous output,remote data concentrator,2
autonomous output,network communication,2
autonomous output,input/output interface,2
autonomous output,avionics network,2
network communication,remote data concentrator,2
input/output interface,remote data concentrator,2
avionics network,remote data concentrator,2
input/output interface,network communication,2
avionics network,network communication,2
avionics network,input/output interface,2
dual clutch system,speed adaptation,1
automatic derailleur,speed adaptation,1
electric vehicle transmission,speed adaptation,1
planetary gear train,speed adaptation,1
automatic derailleur,dual clutch system,1
dual clutch system,electric vehicle transmission,1
dual clutch system,planetary gear train,1
automatic derailleur,electric vehicle transmission,1
automatic derailleur,planetary gear train,1
electric vehicle transmission,planetary gear train,1
landing speed optimization,multi-engine flight dynamics,1
multi-engine flight dynamics,thrust asymmetry control,1
adaptive thrust limit,multi-engine flight dynamics,1
engine-out safety,multi-engine flight dynamics,1
