source,target,weight,weighted_tie_strength,link_centrality,technical_distance,node_assortativity,common_neighbors_count,eigen_distance,pagerank_distance,clustering_distance,link_strength_category
automatic closing,optimized stop point,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
optimized stop point,traction means,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
deflecting element,optimized stop point,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
optimized stop point,spring accumulator,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic closing,traction means,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic closing,deflecting element,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic closing,spring accumulator,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
deflecting element,traction means,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
spring accumulator,traction means,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
deflecting element,spring accumulator,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic door control,obstacle detection,1,1.6153846153846154,3.6357599545566975e-07,0.04762232526646094,1,3,5.590224403324495e-25,9.832942239958024e-06,0.14285714285714285,弱链接
obstacle detection,safety algorithm,2,3.4,4.108203338482144e-09,0.0,0,6,0.0,0.0,0.0,强链接
intelligent access,obstacle detection,1,2.7777777777777777,0.0,0.1428834363696961,3,3,6.37860987327072e-24,7.888053765971596e-05,0.4285714285714286,强链接
computer vision,obstacle detection,1,1.6153846153846154,0.0,0.04762055822769937,1,3,1.52129155807539e-24,4.531825955251433e-06,0.14285714285714285,弱链接
automatic door control,safety algorithm,1,1.6153846153846154,3.6357599545566975e-07,0.04762232526646094,1,3,5.590224403324495e-25,9.832942239958024e-06,0.14285714285714285,弱链接
automatic door control,intelligent access,1,2.5,1.4378711684687504e-07,0.19050576163615704,4,3,5.819587432938271e-24,8.871347989967398e-05,0.5714285714285714,强链接
automatic door control,computer vision,1,1.5,1.2940840516218756e-06,1.7670387615688636e-06,0,3,2.0803139984078394e-24,5.301116284706591e-06,0.0,弱链接
intelligent access,safety algorithm,1,2.7777777777777777,0.0,0.1428834363696961,3,3,6.37860987327072e-24,7.888053765971596e-05,0.4285714285714286,强链接
computer vision,safety algorithm,1,1.6153846153846154,0.0,0.04762055822769937,1,3,1.52129155807539e-24,4.531825955251433e-06,0.14285714285714285,弱链接
computer vision,intelligent access,1,2.5,0.0,0.19050399459739545,4,3,7.89990143134611e-24,8.34123636149674e-05,0.5714285714285714,强链接
radial mounting,rotational coupling,1,3.3,0.00011141773207561639,0.19072603050414547,4,3,0.000695924579542576,5.359550432239754e-05,0.5714285714285714,强链接
nested gear sets,radial mounting,1,6.166666666666667,0.0,0.0,0,3,0.0,0.0,0.0,强链接
planetary transmission,radial mounting,1,0.6538461538461539,0.0,0.2900093610300176,20,3,5.841362559407081e-05,0.00040445207315447035,0.8695652173913043,弱链接
gear shaft,radial mounting,1,6.166666666666667,0.0,4.517509052022935e-21,0,3,0.0,1.3552527156068805e-20,0.0,强链接
nested gear sets,rotational coupling,1,3.3,0.0,0.19072603050414547,4,3,0.000695924579542576,5.359550432239754e-05,0.5714285714285714,强链接
