关键词1,关键词2,链路强度值,链接强度分类
photogrammetry,triaxial orthographic nacelle,115.5,强链接
GPS inertial system,line inspection,104.16666666666667,强链接
broad-spectrum moth attraction,conductive net barrel,100.0,强链接
crop maturity recognition,mobile storage,98.16666666666667,强链接
lead wire release,power mechanism,98.16666666666667,强链接
atmospheric pressure effect,reusable container,98.16666666666667,强链接
mobile workstation,portable design,98.16666666666667,强链接
atmospheric pressure effect,soft pesticide box,98.16666666666667,强链接
reusable container,soft pesticide box,98.16666666666667,强链接
hydrogen fuel battery,power supply conversion,97.5,强链接
gasoline generator,intelligent charging station,97.5,强链接
attitude transducer,multi-angle shooting,97.5,强链接
attitude transducer,video glasses,97.5,强链接
multi-angle shooting,video glasses,97.5,强链接
energy-efficient,rescue positioning,97.5,强链接
environmental analysis,pollution gas monitoring,97.5,强链接
energy-efficient,field search,97.5,强链接
field search,rescue positioning,97.5,强链接
dual-power system,power switching circuit,96.83333333333333,强链接
fire rescue,high-rise fire suppression,96.16666666666667,强链接
command-control,replacement mechanism,96.16666666666667,强链接
base station,command-control,96.16666666666667,强链接
base station,replacement mechanism,96.16666666666667,强链接
electromotor engine integration,stealth capability,96.16666666666667,强链接
hybrid power,stealth capability,96.16666666666667,强链接
electromotor engine integration,hybrid power,96.16666666666667,强链接
evading decision,low-altitude safety,95.5,强链接
electric propulsion,insect pest image recognition,95.5,强链接
pesticide spray control,rice disease recognition,95.5,强链接
barrier sensing,low-altitude safety,95.5,强链接
barrier sensing,evading decision,95.5,强链接
launch rack integration,mechanical conversion,95.5,强链接
lock pin system,mechanical conversion,95.5,强链接
atmospheric data utilization,sensor failure compensation,95.5,强链接
sensor failure compensation,true airspeed reconstruction,95.5,强链接
atmospheric data utilization,true airspeed reconstruction,95.5,强链接
launch rack integration,lock pin system,95.5,强链接
quadcopter control,survivor search,94.83333333333333,强链接
gyroscope integration,intelligent mobile device,94.83333333333333,强链接
dual propellers,support rods,94.83333333333333,强链接
flight control innovation,gyroscope integration,94.83333333333333,强链接
flight control innovation,intelligent mobile device,94.83333333333333,强链接
aileron driving mechanism,airfoil configuration,94.83333333333333,强链接
airfoil configuration,rudder control,94.83333333333333,强链接
aileron driving mechanism,rudder control,94.83333333333333,强链接
liquid storage tank,water pump control,94.83333333333333,强链接
centrifugal spray nozzle,liquid storage tank,94.83333333333333,强链接
propeller synchronization,supporting rods,94.83333333333333,强链接
electromagnetic ejector,magnetic device,94.83333333333333,强链接
distance detection,rotary measurement,94.83333333333333,强链接
distance detection,position analysis,94.83333333333333,强链接
position analysis,rotary measurement,94.83333333333333,强链接
centrifugal spray nozzle,water pump control,94.83333333333333,强链接
extendible snubbers,gimbal stabilization,94.83333333333333,强链接
rotor wing control,synchronous driving,94.16666666666667,强链接
airborne system,multi-frequency signal,94.16666666666667,强链接
autonomous delivery,inventory retrieval,94.16666666666667,强链接
autonomous delivery,route computation,94.16666666666667,强链接
PWM signal processing,air cushion inflation,94.16666666666667,强链接
offshore monitoring,real-time imaging,94.16666666666667,强链接
ducted fan lift,hybrid V/STOL,94.16666666666667,强链接
offshore monitoring,smart eyeglasses interface,94.16666666666667,强链接
air cushion inflation,parachute control,94.16666666666667,强链接
PWM signal processing,parachute control,94.16666666666667,强链接
single motor,synchronous driving,94.16666666666667,强链接
inventory retrieval,route computation,94.16666666666667,强链接
data reliability,multi-frequency signal,94.16666666666667,强链接
