appln_id,appln_kind,earliest_publn_year,granted,appln_title,appln_abstract,Result
313584205,A ,2012,N,"COMPONENT, IN PARTICULAR A WINDOW OR DOOR, HAVING A CLOSING APPARATUS","The invention relates to a component (1), in particular a window (2) or a door, comprising a window or door frame (3) and a sash or leaf (4) that can optionally be pivoted about a horizontal pivot axis (9) or a vertical rotational axis (8), and a closing apparatus (17) which is disposed on the window or door frame (3) and comprises a spring accumulator (18) for the automatic time-delayed closing of the sash or leaf (4), and a traction means (19) which originates from the closing apparatus (17), is guided over a deflecting element (22) and runs from a deflection point (25) at the deflecting element (22) to a stop point (26) at the sash or leaf (4) for transmitting a closing force. In the closed state of the sash or leaf (4), the stop point (26) has a distance (38) of less than 40 mm, preferably less than 30 mm, in particular less than 20 mm, from the vertical rotational axis (8) of the sash or leaf (4), or is disposed on the side opposite of the sash or leaf (4) with respect to a reference plane (86) that runs through the vertical rotational axis (8) and oriented at a right angle to the sash or leaf plane.","Keywords: [automatic closing, spring accumulator, traction means, deflecting element, optimized stop point]

Innovation:
1. Spring accumulator enables automatic, time-delayed closure of window or door sashes.
2. Traction means guided by deflecting element efficiently transmits force for reliable closing.
3. Optimized stop point placement enhances closing reliability through strategic distance management."
315724696,A ,2013,N,SAFETY APPARATUS FOR CLOSING AND OPENING A DOOR,"The invention relates in particular to an apparatus for automatically closing and opening at least one door (P) in a frame (CAD), said door being controlled by a controller (CTRL) providing a safety mode for retaining the door in an open state and, if need be, a door reopening mode in the event of an obstacle blocking the complete closure of the door into the frame, characterized by: at least one camera (CAM) having a vision axis intersecting at least the plane of the frame and providing an image of a space divided by the plane of the frame; at least one image analysis unit (AN) that isolates the regions of interest of an obstacle in the space; a calculator (CALC) for extracting at least one geometrical characteristic of each region of interest, for classifying the same into at least one closest category of different safety scenarios of known characteristics, and for outputting, to the controller, a safety signal (SEC) which activates the safety mode and which is dependent on the evaluation of a safety alarm value calculated by a formula, in accordance with the category, using at least one weighing of dimensional criteria applied to the geometrical characteristics.","Keywords: [computer vision, automatic door control, obstacle detection, safety algorithm, intelligent access]

Innovation:
1. Camera vision axis intersecting door frame for comprehensive monitoring and obstacle detection.
2. Image analysis isolating regions of interest to enhance precise obstacle recognition.
3. Classification system using dimensional criteria to activate context-specific safety responses."
315890604,A ,2012,Y,GEAR SET ARRANGEMENT OF A PLANETARY TRANSMISSION,"The invention relates to a gear set arrangement of a planetary transmission, for example an automatic transmission for a motor vehicle, comprising at least two simple planetary gear sets (1, 11) which have respective sun wheels (2, 12), ring gears (3, 13) and planet carriers (5, 15) carrying a plurality of planetary gears (4, 14), and which are arranged in a coaxially nested arrangements of one of the planetary gear sets (1) radially inside the sun gear (12) of the other planetary gear set (11) in a common radial plane or in radial planes (7, 17) which are slightly off-set from each other axially, the ring gear (3) of the radially inner planetary gear set (1) and the sun gear (12) of the radially outer planetary gear set (11) and the planet carriers (5, 15) of both planetary gear sets (1, 11) being coupled to each other in a rotationally fixed manner. In order to avoid a forced movement of the gear wheels (2, 3, 4; 12, 13, 14), one component each only, namely the sun gear (2, 12), the ring gear (3, 13) or the planet carrier (5, 15) of each of the two planetary gear sets (1, 11) is radially mounted on a centrally arranged gear shaft (20) with substantially no radial play or relative to a component that is mounted in a centered fashion.","Keywords: [planetary transmission, nested gear sets, rotational coupling, radial mounting, gear shaft]

Innovation:
1. Nested planetary gear sets in common or slightly offset planes for compact transmission design.
2. Rotational coupling of ring gear, sun gear, and planet carriers enhances transmission stability.
3. Radial mounting with minimal play on central gear shaft prevents forced gear movement."
323839035,A ,2012,N,MAGNETIC PICKUP GAME DEVICE,"The new utility model relates to A magnetic collecting piece game device, wherein, which comprises: a plurality of metallic pieces (200) which comprises a metal plane which can be magnetically attracted, the metallic pieces (200) are divided into a plurality of areas, each of the plurality of areas is marked with a corresponding data value; a magnetic main piece (100) which attracts the metallic pieces (200), the magnetic main piece (100)is provided with a data disk (120) marked with a plurality of data values, and a magnetic sensing pad (108); when hit, the magnetic sensing pad (108) enables the data disk (120) to rotate for a predetermined angle so that to change the data value shown by the data disk (120); a rope which can automatically retract or is elastic is tied to the magnetic main piece (120). The magnetic collecting piece game device is more funny and interesting.","Keywords: [magnetic attraction, data disk rotation, interactive game piece, metallic plane, automatic retraction rope]

Innovation:
1. Magnetic sensing pad triggering data disk rotation introduces novel interaction dynamics in game play.
2. Metallic pieces divided into areas with distinct data values enhance gameplay complexity and engagement.
3. Automatic retraction rope integration offers enhanced user control and dynamic game experience."
328736511,A ,2012,N,Construction and measuring device for measuring and marking points along contour lines running horizontally across a surface,"The device (10) has a horizontal line projection functionality for measuring and marking space points (1a 1b, 1c) along a horizontal line on a shaped surface. An evaluation and control unit automatically controls Azimuthal alignment of a sighting unit based on the first space points defining a horizontal plane (16) with respect to the functionality such that an elevative alignment of the sighting unit is changed by rotary drives. The second space point is moved and marked with a laser beam (14), and lies in an actual Azimuthal alignment to the horizontal line. Independent claims are also included for the following: (1) a method for measuring and marking space points in a common horizontal plane of a construction by a construction measuring device (2) a computer program product comprising a program code for executing a method for measuring and marking space points in a common horizontal plane.","Keywords: [horizontal line projection, Azimuthal alignment, laser marking, automatic control, construction measurement]

Innovation:
1. Automated Azimuthal alignment of sighting unit for precise horizontal plane definition using space points.
2. Laser beam marking of second space point in actual alignment with the horizontal line for accurate construction measurements.
3. Computer program integration enabling method execution for efficient space point measurement and marking in construction."
328896598,A ,2012,Y,METHOD AND SYSTEM FOR AUTOMATIC OBJECT DETECTION AND SUBSEQUENT OBJECT TRACKING IN ACCORDANCE WITH THE OBJECT SHAPE,"A large number of tracking methods, in addition to further developments for object tracking, including tracking the object shape, are known. In this case, however, the orientation is calculated only within the image plane and therefore only 2-dimensionally, so the object shape cannot be matched to the actual movement of the object in three-dimensional space. In order to specify a method for automatic object detection and subsequent object tracking in digital video systems having at least one camera (K) for recording and transmitting video sequences, as well as further processing or evaluation of video data, which in addition to the localization and tracking of moving objects, is also capable of determining the object shape and thus of permitting the calculation of the orientation of an object in space with the existing measured data, patent claim 1 provides for an object detection algorithm based on a Gaussian mixture model GMM and expanded object tracking based on Mean-Shift to be combined with each other in the object detection. The object detection is expanded in accordance with a model of the background by improved removal of shadows, the binary mask (BM) generated in this way is used to create an asymmetric filter core, and then the actual algorithm for the shape-adaptive object tracking, expanded by a segmentation step for adapting the shape, is initialized, and therefore a determination at least of the object shape or object contour or the orientation of the object in space is made possible. The invention falls in the area of automatic object detection and subsequent object tracking.","Keywords: [Gaussian mixture model, Mean-Shift tracking, 3D object orientation, shadow removal, shape-adaptive tracking]

Innovation:
1. Gaussian Mixture Model combined with Mean-Shift for enhanced 3D object orientation and shape tracking beyond traditional 2D methods.
2. Asymmetric filter core creation from improved shadow removal enhances precision in binary mask generation for object detection.
3. Segmentation step integrated into shape-adaptive tracking algorithm enables accurate object contour and spatial orientation calculation."
329778673,A ,2012,N,THREE-DIMENSIONAL RECORDING AND DISPLAY SYSTEM USING NEAR- AND DISTAL-FOCUSED IMAGES,"Methods and apparatuses for providing simulated three-dimensional images on a two-dimensional display screen without the use of special filters or overlays on the display or special eyewear. Images having different focal points are displayed as pictures and switched between rapidly, such that the human eye automatically adjusts to focus on each picture in succession. As the pictures are presented sequentially, the viewer may perceive that the display shows images at different depth planes. The number of depth planes may vary between embodiments.","Keywords: [3D imaging, focal adjustment, sequential display, depth perception, eyewear-free]

Innovation:
1. Rapidly switching images with varying focal points create a simulated 3D effect without special viewing aids.
2. Sequential image presentation enables viewer's eyes to adjust focus, mimicking natural depth perception.
3. Flexible number of depth planes enhances adaptability across different display technologies and applications."
332431045,A ,2012,Y,CHAIN HOISTING DEVICE WITH SAFE DESCENDING STROKE,"The present invention provides a chain lifter with safe descending stroke, which comprises: a lifting body, a motor, a driving sprocket group, a linkage mechanism, a first safe switch and a second safe switch. The linkage mechanism is composed of a first rocking rod, a second rocking rod, a first connecting rod, a second connecting rod and an elastic resetting mechanism which are in the same plane. The first end of the first rocking rod is connected with a first adjusting wheel, the first end of a second rocking rod is connected with a second adjusting wheel. In the present invention, the lifting body is provided with a linkage mechanism which can reset automatically by collaborating with the rocking rod, the linkage crank and the adjusting wheel to change the wrap angle of the chain on the wheel and automatically adjust the looseness of the loose edge of the chain, so as to ensure the lifter to be provided with enough descending stroke when the lifter touches the ground, to prevent from operation fault and accidents caused by the over-loosening or over-tightening of the chain, and to increase the operation reliability and safety of the lifter observably.","Keywords: [chain lifter, automatic reset, linkage mechanism, safe descending stroke, adjusting wheel]

Innovation:
1. Automatic resetting linkage mechanism adjusts chain wrap angle to ensure safe descending stroke and prevent faults.
2. Integrated rocking rods and adjusting wheels collaboratively enhance operational reliability and safety.
3. Elastic resetting mechanism dynamically controls chain tension, mitigating over-loosening or tightening risks."
333688797,A ,2012,N,"Arrangement for making sealed light rays from laser and laser welding installation, comprises assembly mounted in window of fixed wall around pivot axis and unit for closing the window when the assembly is present in predetermined position","The arrangement comprises an assembly pivotally mounted in a window of a fixed wall around a pivot axis extending in a plane of the window in a predetermined position, a unit for closing the window when the assembly is present in the predetermined position, and a unit for closing openings of light leakage between the edges of the window and the surfaces of the pivot assembly, which are movable relative to the edges of the window. The closing unit includes traps placed on the fixed wall outside of the window at the opening. The arrangement comprises an assembly pivotally mounted in a window of a fixed wall around a pivot axis extending in a plane of the window in a predetermined position, a unit for closing the window when the assembly is present in the predetermined position, and a unit for closing openings of light leakage between the edges of the window and the surfaces of the pivot assembly, which are movable relative to the edges of the window. The closing unit include traps placed on the fixed wall outside of the window at the opening so as to be pivotable between a closed position of the opening when the pivot assembly is present in the predetermined position and a retracted position allowing the pivoting of the pivot assembly, and a unit for controlling automatic pivoting of the traps towards its closed position and its retracted position. The control unit comprises: a lever integral with the rotation of the traps; an element that is integral with the pivot assembly and is arranged to abut against the lever and to rotate the traps in the closed position when the pivot assembly is present in the predetermined position; and a unit for returning the traps towards its retracted position when the lever and the element connected to the pivot assembly are disengaged from each other. The pivot assembly comprises a working plate, a protective shield upstanding from the plate and passing through the pivot axis to close the window along its edges when the pivot assembly is present in the predetermined position, and a circular element that is placed at a top of the protective shield and is integral with the protective shield. The traps associated with the openings are arranged so as to close the openings between the edges of the window and the peripheral surface portions of the plate, which moves relative to the edges of the pivot assembly. The circular element has a peripheral surface movable relative to a cylindrical cover of an upper bearing. The traps are arranged below and above the window. Each of the traps comprise three portions extending from each other so that outer counter lines of the portions is parallel to the pivot axis of assembly formed by the circular element and the cylindrical cover, where the three portions include: a first portion is integral with the pivot axis of the traps and extends parallel to the fixed wall when the trap is present in closed position; a second portion forms an obtuse angle with the first portion away from the fixed wall; and a third portion formed by an end portion of an edge of the second portion folded to bear by its vertical edge. The closing unit further comprises projecting flanges secured to the edges of the shield and formed with the edges of the window, and baffles preventing light from passing when the pivot assembly is present in its predetermined position. The trap returning unit comprises restoring springs.","Keywords: [pivot assembly, light leakage closure, automatic trap control, protective shield, cylindrical cover]

Innovation:
1. Novel pivot assembly with integrated protective shield and circular element closing window edges effectively.
2. Automatic trap control system with lever and spring mechanism for efficient light leakage prevention.
3. Configurable traps with three portions ensuring comprehensive coverage and sealing of window openings."
335120249,A ,2012,Y,Dispensing cap with automatic valve for containers for transporting and dispensing liquid or creamy substances,"A dispensing cap (1) with automatic valve (2) for containers for transporting and dispensing liquid or creamy substances, comprising means for its sealed fixing to a container neck, and a dispensing port associated with said automatic valve (2), said valve comprising a body formed of soft plastic material and provided with means (2A) for its fixing to the cap (1), and at least one first and one second flexible flap (20A,20B,21A,21B) able to assume a closed position, said first and said second flap (20A,20B,21A,21B) being formed in at least two different planes, such that when the pressure inside the can equals the external pressure they assume a rest position in which a passage space is present between them to enable air to pass.","Keywords: [automatic valve, flexible flap, pressure equalization, dispensing cap, soft plastic body]

Innovation:
1. Automatic valve with multi-plane flexible flaps enabling pressure equalization and controlled substance dispensing.
2. Soft plastic body integrating sealed fixing means for reliable attachment to container necks.
3. Pressure-responsive design allowing air passage when internal and external pressures are balanced."
